Layers,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
[1],0.08942863,1091.0874680016525,2.44912807900125
"[1, 2]",0.08070986,1011.9476654107125,2.6215686980178385
"[1, 2, 3]",0.06721686,815.4789698907502,2.9369685948834254
"[1, 2, 3, 4]",0.060808763,750.5578402966202,3.0806744433778634
"[1, 2, 3, 4, 5]",0.051797077,646.6655219146722,3.3606036220069537
"[1, 2, 3, 4, 5, 6]",0.049028117,586.3971531679788,3.536531753660392
"[1, 2, 3, 4, 5, 6, 7]",0.046973646,554.5176980087356,3.5511852122355623
"[1, 2, 3, 4, 5, 6, 7, 8]",0.04353403,529.9818841256701,3.563917810266663
"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.039624233,512.1215506557393,3.6135921777405278
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.03480711,499.9379506076241,3.641095526520159
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.034875453,491.2788009693816,3.6841770023494624
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.03296943,470.6304097186376,3.76999366609176
