Latin Layer,English Layer,Skewness,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
9,5,4,0.043713175,502.5652048159963,3.29407413022137
9,6,3,0.040859316,588.6336176502263,3.630075710641179
9,7,2,0.0512669,618.0796327305693,3.2466404071729222
9,8,1,0.019043107,539.1306183311682,3.3223757557487374
9,9,0,0.026364636,545.4475726853652,3.1200729243013465
9,10,-1,0.052146398,548.8568669506669,3.305302775287897
9,11,-2,0.04190142,543.0694799304079,3.7658281975426604
9,12,-3,0.030125538,438.29203837076466,4.061146375720082
10,1,9,0.037939128,575.4157866262145,3.5393984230403515
10,2,8,0.037092578,549.2471062119008,3.5795789721222064
10,3,7,0.034592204,445.00789337666595,3.9083091865478066
10,4,6,0.037211187,510.85122222633504,3.5306967052101554
10,5,5,0.03905655,500.39916855286975,3.6678494800328894
10,6,4,0.041213557,572.3402777009883,3.6881636716114254
10,7,3,0.037876777,577.134801591205,3.730178662493601
10,8,2,0.033307847,519.233951685049,3.8650111226369734
10,9,1,0.052502815,550.1169764143173,3.3083852918833445
10,10,0,0.03870018,529.1197545185223,3.675360389514097
10,11,-1,0.04544925,544.8551870155585,3.683405263125082
10,12,-2,0.032857068,435.97997720018776,3.9842385673051126
11,1,10,0.04178628,574.1349705770426,3.5681796690524026
11,2,9,0.045115687,540.7523800688746,3.8381638878067417
11,3,8,0.037992425,450.088855255539,3.8987850431598465
11,4,7,0.04101327,512.7598462686169,3.5386968885795653
11,5,6,0.041523565,505.87052799774017,3.6889764126952365
11,6,5,0.05588259,572.3980758633655,3.2682344800568077
11,7,4,0.030203464,583.1392854871139,3.2173675061427014
11,8,3,0.04982798,550.469453806734,3.392312839808756
11,9,2,0.04202369,543.4040943693967,3.769141411695102
11,10,1,0.056043465,553.6899322603746,3.4305660697488607
11,11,0,0.05245304,569.3986544163922,3.6181379381835694
11,12,-1,0.042319316,459.617786651068,3.8686673462694947
12,1,11,0.034419704,519.844571365382,3.747716971808839
12,2,10,0.035915196,485.72167995792404,3.8477100425058373
12,3,9,0.030203784,367.3514454275939,4.229598765325307
12,4,8,0.033131287,434.498019562495,3.934803805723467
12,5,7,0.033955153,413.6467284572867,3.8310569465669753
12,6,6,0.047837157,495.8604361614718,3.4587897434373995
12,7,5,0.04464451,503.1874199984533,3.594404561031475
12,8,4,0.03762523,435.1775631992114,3.458415079075706
12,9,3,0.04294605,443.9461256774185,3.3240134490379933
12,10,2,0.033365693,434.949486339961,3.975011583128198
12,11,1,0.044087954,457.90456277767555,3.8369484762815684
12,12,0,0.040966168,409.9012075456185,3.933804183330578
