Latin Layer,English Layer,Skewness,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
1,1,0,0.08942863,1091.0874680016525,2.44912807900125
1,2,-1,0.08122401,1016.7914869360364,2.6126021237706443
1,3,-2,0.06398907,755.3206508280248,3.054036784720053
1,4,-3,0.06322599,805.100848082819,2.874306630666207
1,5,-4,0.047980662,636.7221557287324,3.3132195559731716
1,6,-5,0.049391188,648.540290513859,3.286407935790079
1,7,-6,0.051196896,650.1454989761352,3.265157252427859
1,8,-7,0.037834566,598.7711075514156,3.4342575896795218
1,9,-8,0.0373576,592.5583107049254,3.4661891495185024
1,10,-9,0.035207245,567.4291035063643,3.595134549307713
1,11,-10,0.044998277,565.3952994697431,3.4933754198660987
1,12,-11,0.037809774,518.7523377020134,3.6661403145853604
2,1,1,0.080524795,1008.0776075068736,2.6166906323419865
2,2,0,0.07482007,977.9968618776649,2.7874026471517106
2,3,-1,0.057064723,724.0559362491147,3.265547803025685
2,4,-2,0.056797456,783.874416960714,3.223858668855891
2,5,-3,0.051901326,610.0505921287472,3.4743706635490943
2,6,-4,0.055141773,617.6713539382341,3.4843303620252652
2,7,-5,0.048766937,617.0607428895205,3.5831436896480566
2,8,-6,0.04474528,561.8166954159326,3.723330442938979
2,9,-7,0.03764066,546.2097359939406,3.7809458113315997
2,10,-8,0.042846978,529.0343256507463,3.8459148437410624
2,11,-9,0.038126737,538.9994945397093,3.5377582228070676
2,12,-10,0.03929116,479.1239410371003,3.924667842781176
3,1,2,0.06358373,750.1219174710258,3.048468623156155
3,2,1,0.057234082,725.9881852960822,3.266073740332566
3,3,0,0.04332197,559.014679628403,3.5755627735593056
3,4,-1,0.04824308,616.9737480617551,3.6295364233819996
3,5,-2,0.042049274,491.47412840644836,3.5825956299366375
3,6,-3,0.03987713,520.404268918184,3.5287118019923414
3,7,-4,0.03720828,515.8759101565257,3.619493931055852
3,8,-5,0.03203307,457.95333657861835,3.801630747575185
3,9,-6,0.03264448,456.11908425362947,3.82995557889115
3,10,-7,0.03550434,442.6132355277348,3.8564459740495547
3,11,-8,0.039326515,448.80194055536754,3.8322186792549697
3,12,-9,0.03118297,365.7536999186011,4.147670264471933
4,1,3,0.06278545,800.1563832849672,2.8795927891683553
4,2,2,0.056586053,785.9577817859786,3.2220063131345507
4,3,1,0.048452955,617.566127580212,3.623327691413995
4,4,0,0.056142006,746.8555921986955,3.2632092779102884
4,5,-1,0.048624214,580.1234254562479,3.346041410630467
4,6,-2,0.049505465,596.7693063676189,3.340634746104597
4,7,-3,0.047292616,592.5439670044291,3.3856695582538
4,8,-4,0.039082646,510.4749800755781,3.727768475700672
4,9,-5,0.03732005,523.9969445703475,3.5278946353795457
4,10,-6,0.038495075,509.4787616413833,3.484818797058166
4,11,-7,0.041893072,512.9390248947517,3.4761433725197093
4,12,-8,0.035507876,434.6069827429662,3.8281339816151077
5,1,4,0.04870643,646.901530236763,3.2668697675245983
5,2,3,0.05204942,616.7657568460614,3.450991463174783
5,3,2,0.040204793,493.4379252234381,3.6622738429665906
5,4,1,0.048639763,583.3300318904537,3.3517215693874762
5,5,0,0.052021675,596.5393389336247,3.1119504796276285
5,6,-1,0.055772375,607.3137777801543,3.041568292260612
5,7,-2,0.045759242,602.0676386760539,3.327310287038789
5,8,-3,0.039499756,535.0305598580749,3.474947531865725
5,9,-4,0.037764166,522.0094413397186,3.608346133968074
5,10,-5,0.03941576,508.7498130146295,3.6696260891229833
5,11,-6,0.042037487,515.4035246286497,3.6912590729294363
5,12,-7,0.044272196,416.53765368441475,3.6116987035245995
6,1,5,0.04491172,648.7143987615543,3.273670069113116
6,2,4,0.055452794,623.4575938180152,3.449526899761941
6,3,3,0.038519636,521.1531531973429,3.55254822007619
6,4,2,0.049670406,597.880709754499,3.346759384536907
6,5,1,0.048963662,612.6359991596762,3.2067430343050782
6,6,0,0.052753136,693.3749022483507,3.2284140948247453
6,7,-1,0.049412843,687.0812647396754,3.3219916211658322
6,8,-2,0.0432597,613.3705156937061,3.48499713880104
6,9,-3,0.052351985,620.580783055434,3.181033925436407
6,10,-4,0.04221698,579.2976630434201,3.6732564111601196
6,11,-5,0.04466098,587.8235607400129,3.6867562935144007
6,12,-6,0.036029864,486.06508143410844,3.8953668792412666
7,1,6,0.046124537,643.64331212022,3.2922585566898306
7,2,5,0.048980948,620.146427523248,3.5870554435526207
7,3,4,0.035243914,512.5882162881568,3.6669002462582085
7,4,3,0.046029564,589.6538817986251,3.4153346599540093
7,5,2,0.045244057,594.0092129468775,3.3265191791133897
7,6,1,0.048906878,679.5076677588642,3.338926250337375
7,7,0,0.046668306,686.564807911545,3.386666543370192
7,8,-1,0.04061541,612.2146226423492,3.5485911449474847
7,9,-2,0.049635943,619.337499201299,3.248640111852843
7,10,-3,0.038267974,577.1969788929516,3.738445185503746
7,11,-4,0.05269774,606.1056219240527,3.3145327810928724
7,12,-5,0.031930503,488.74050897304306,3.869245826698579
8,1,7,0.036487494,601.1936088598702,3.42171232907046
8,2,6,0.046193965,571.6673171663615,3.636968675770242
8,3,5,0.03021462,457.60826276419056,3.8367553549671283
8,4,4,0.039750647,528.0241639668795,3.5712722707763813
8,5,3,0.040676042,491.21323461543517,3.718265574098219
8,6,2,0.04318595,607.0167893020362,3.5031547989118623
8,7,1,0.048130088,629.2840928164794,3.248034943862027
8,8,0,0.031987865,546.4325102522957,3.7082542227823385
8,9,-1,0.019205514,540.4528373637557,3.3133725655352384
8,10,-2,0.03328024,519.6116649501803,3.8775522125635487
8,11,-3,0.039055523,532.5650371035867,3.8393057676407327
8,12,-4,0.044005208,452.0953235713574,3.605106784420305
9,1,8,0.037044123,594.6232997100448,3.4637084080386558
9,2,7,0.04554464,564.4553477687524,3.649197093985107
9,3,6,0.031551786,456.9649960831599,3.87739734754665
9,4,5,0.035783257,523.9645534688879,3.5871286135298055
